race_id,date,year,meet,meet_name,rc_no,rc_name,classification,odds_present,sales_present
20160130-2-03,2016-01-30,2016,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160130-2-04,2016-01-30,2016,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160130-2-05,2016-01-30,2016,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160213-2-08,2016-02-13,2016,2,Jeju,8,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160213-2-09,2016-02-13,2016,2,Jeju,9,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160228-1-08,2016-02-28,2016,1,Seoul,8,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160228-1-10,2016-02-28,2016,1,Seoul,10,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160228-1-11,2016-02-28,2016,1,Seoul,11,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160228-3-04,2016-02-28,2016,3,Busan-Gyeongnam,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160416-2-03,2016-04-16,2016,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160423-2-02,2016-04-23,2016,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160423-2-09,2016-04-23,2016,2,Jeju,9,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160513-2-01,2016-05-13,2016,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA",
20160624-2-03,2016-06-24,2016,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20160624-2-04,2016-06-24,2016,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20160624-2-05,2016-06-24,2016,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20161022-2-05,2016-10-22,2016,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20161028-2-02,2016-10-28,2016,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20161119-2-01,2016-11-19,2016,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20170325-2-05,2017-03-25,2017,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20180414-2-05,2018-04-14,2018,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20180414-2-08,2018-04-14,2018,2,Jeju,8,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20180428-2-06,2018-04-28,2018,2,Jeju,6,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20180901-2-08,2018-09-01,2018,2,Jeju,8,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20181006-2-02,2018-10-06,2018,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190607-2-02,2019-06-07,2019,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190607-2-04,2019-06-07,2019,2,Jeju,4,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190607-2-05,2019-06-07,2019,2,Jeju,5,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190607-2-06,2019-06-07,2019,2,Jeju,6,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190607-2-07,2019-06-07,2019,2,Jeju,7,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190607-2-08,2019-06-07,2019,2,Jeju,8,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
20190614-2-02,2019-06-14,2019,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL,EXA,QPL,TLA,TRI",
